t,current,target,vx,h,tilt,alpha_base,dFL,dFR,dRL,dRR,power_W,x_w,jp0,jp1,jp2,jp3,jp4,jp5,jp6,jp7,jp8,jp9,jp10,jp11,jv0,jv1,jv2,jv3,jv4,jv5,jv6,jv7,jv8,jv9,jv10,jv11,ja0,ja1,ja2,ja3,ja4,ja5,ja6,ja7,ja8,ja9,ja10,ja11,tq0,tq1,tq2,tq3,tq4,tq5,tq6,tq7,tq8,tq9,tq10,tq11
0.0,trot,bound,0.005096326116472483,0.49658602476119995,4.098644058103673e-05,0.006666667,0.0,0.0,0.0,0.0,826.9871215820312,5.2502522468566895,0.10861876606941223,-0.10282677412033081,0.10149265825748444,-0.10287890583276749,0.855779767036438,0.8649598956108093,1.058485984802246,1.047868251800537,-1.6066266298294067,-1.6254044771194458,-1.6233025789260864,-1.5811504125595093,0.4156716465950012,-0.1588820219039917,0.04784279689192772,-0.18009109795093536,2.539811849594116,2.316615343093872,1.410929799079895,1.5264248847961426,-5.323768138885498,-5.248120307922363,-4.671785354614258,-3.122173309326172,-18.17809295654297,-22.504222869873047,-11.733236312866211,-20.764619827270508,-20.816755294799805,-97.1373062133789,-260.08074951171875,-131.7312774658203,-23.39153289794922,69.74353790283203,321.3323669433594,146.88453674316406,-16.503841400146484,-30.90700340270996,4.060048580169678,23.78432273864746,25.183696746826172,-44.87830352783203,-25.556079864501953,-20.456636428833008,52.45329284667969,-8.027458190917969,3.2899742126464844,76.4786148071289
0.02,trot,bound,0.019475871697068214,0.4941624701023102,0.0006121465703472495,0.006713194,0.0,0.0,0.0,0.0,337.94580078125,5.250376224517822,0.1192595586180687,-0.10557232052087784,0.10291947424411774,-0.09816472232341766,0.8911278247833252,0.8613513708114624,1.0277458429336548,1.0215758085250854,-1.6964324712753296,-1.7183198928833008,-1.6757336854934692,-1.5668129920959473,0.30288439989089966,-0.14747686684131622,-0.016124246641993523,0.21404197812080383,-0.03599557280540466,-1.5388851165771484,-2.1619982719421387,-1.3474408388137817,-1.2864713668823242,-3.7031335830688477,-2.4069249629974365,0.8885593414306641,-1.9958436489105225,37.70783233642578,20.796344757080078,20.139362335205078,-197.22756958007812,-134.27989196777344,-50.88481903076172,32.33041763305664,338.4273986816406,106.35804748535156,32.6629638671875,-12.454902648925781,-59.31183624267578,4.085140705108643,0.5312405824661255,54.679527282714844,38.433345794677734,-24.63579750061035,-9.535871505737305,33.76043701171875,79.50456237792969,-3.172496795654297,-2.380878448486328,92.85310363769531
0.04,trot,bound,0.11105523258447647,0.4914022386074066,0.0011305075604468584,0.0067132018,0.0,0.0,0.0,0.0,139.0391387939453,5.251787185668945,0.11722515523433685,-0.11713384091854095,0.09860081225633621,-0.10218408703804016,0.8981231451034546,0.8165265917778015,0.9928296804428101,1.0108165740966797,-1.719960331916809,-1.7611780166625977,-1.7235872745513916,-1.561077356338501,-0.15549658238887787,-0.3769444525241852,-0.02417479082942009,-0.24862012267112732,0.2676103115081787,-2.2063148021698,-1.5245434045791626,-0.22618268430233002,-0.6088134050369263,-1.71074640750885,-1.7680073976516724,0.1169937402009964,-2.6356310844421387,30.776887893676758,19.524660110473633,-5.657663822174072,18.6059627532959,20.62397003173828,40.07494354248047,35.843101501464844,23.78036880493164,56.114959716796875,76.16040802001953,-19.038280487060547,-45.81770324707031,-1.8290719985961914,4.411740779876709,38.3244743347168,69.06625366210938,3.769735336303711,6.739786148071289,29.066665649414062,97.93324279785156,0.261322021484375,4.385614395141602,86.47335052490234
0.06,trot,bound,0.1881638914346695,0.48758992552757263,0.001152279321104288,0.006713205,0.0,0.0,0.0,0.0,168.7605743408203,5.254838466644287,0.11315803229808807,-0.12394917756319046,0.09670933336019516,-0.10849284380674362,0.9124125242233276,0.7769914865493774,0.9723408222198486,1.021347165107727,-1.7350258827209473,-1.7920924425125122,-1.775735855102539,-1.5697072744369507,-0.20276190340518951,-0.24175183475017548,0.041162747889757156,-0.28798171877861023,0.6534695029258728,-1.7571336030960083,-1.0188615322113037,0.7800313830375671,-0.338449090719223,-1.1883732080459595,-1.8692681789398193,-0.5661696195602417,3.439086675643921,15.843907356262207,9.508492469787598,3.568148612976074,16.83014678955078,39.233802795410156,13.735318183898926,44.338356018066406,13.125312805175781,43.20854949951172,82.53373718261719,-29.302108764648438,-41.359317779541016,-6.708168029785156,0.5709283351898193,49.16652297973633,54.88386917114258,8.682214736938477,3.4162416458129883,11.754307746887207,93.97309875488281,0.5918207168579102,4.109994888305664,71.72579956054688
0.08,trot,bound,0.23668524622917175,0.4828614294528961,0.0009224714012816548,0.006713208,0.0,0.0,0.0,0.0,173.19091796875,5.259047508239746,0.11041611433029175,-0.12597766518592834,0.09760390222072601,-0.11325041949748993,0.9321471452713013,0.7428058981895447,0.9496682286262512,1.0436222553253174,-1.7480500936508179,-1.8110326528549194,-1.8181084394454956,-1.5857056379318237,-0.13133196532726288,-0.020918240770697594,0.04981635883450508,-0.22008074820041656,0.9272560477256775,-1.5431022644042969,-1.225404143333435,1.233858585357666,-0.4111427366733551,-0.7527207732200623,-1.586911916732788,-0.8585459589958191,4.31205940246582,12.842127799987793,-4.364842891693115,2.967581272125244,11.779189109802246,30.374168395996094,2.4922609329223633,18.86989974975586,-0.9339511394500732,25.176025390625,61.76216506958008,-10.36638069152832,-43.83750915527344,-5.368002891540527,0.9398285150527954,49.05186080932617,39.6055793762207,7.64702033996582,3.194866180419922,-11.734885215759277,85.55305480957031,0.2807598114013672,2.4536075592041016,58.565101623535156
0.1,trot,bound,0.266784131526947,0.4773885905742645,0.0006583307404071093,0.00671321,0.0,0.0,0.0,0.0,205.4519805908203,5.263991832733154,0.10828740894794464,-0.12490607798099518,0.09935654699802399,-0.11751269549131393,0.9552849531173706,0.7109018564224243,0.9209103584289551,1.0710691213607788,-1.7619131803512573,-1.825067162513733,-1.8533812761306763,-1.6047567129135132,-0.11402274668216705,0.09497200697660446,0.08478093147277832,-0.22139954566955566,1.092575192451477,-1.4871104955673218,-1.483573079109192,1.4553754329681396,-0.5209201574325562,-0.5813169479370117,-1.3625380992889404,-1.0131243467330933,2.197787284851074,7.860664367675781,-4.817007541656494,-1.3748735189437866,7.649421691894531,23.06258773803711,9.22994613647461,5.043196678161621,-3.4684181213378906,16.41968536376953,48.47607421875,-3.2776832580566406,-47.80710220336914,-5.210861682891846,3.923175811767578,49.38032150268555,26.95977020263672,6.631949424743652,5.7802019119262695,-28.586395263671875,86.52505493164062,-0.12939977645874023,1.562967300415039,50.79911804199219
0.12,trot,bound,0.2889194190502167,0.4715040326118469,0.000446848978754133,0.006713212,0.0,0.0,0.0,0.0,224.87445068359375,5.269453048706055,0.1061059758067131,-0.12230117619037628,0.10067196190357208,-0.12219582498073578,0.9802682399749756,0.6800437569618225,0.8880863189697266,1.0997854471206665,-1.776916742324829,-1.8341833353042603,-1.8798748254776,-1.6238700151443481,-0.10960701107978821,0.17527738213539124,0.0365820936858654,-0.23781241476535797,1.1950105428695679,-1.4150675535202026,-1.5786011219024658,1.4780603647232056,-0.6272670030593872,-0.3960576355457306,-1.0436689853668213,-0.9685353636741638,2.560131311416626,7.204687595367432,-6.269373893737793,0.6499230861663818,4.6822309494018555,24.499393463134766,21.148799896240234,0.8414983749389648,-2.7244091033935547,9.627842903137207,35.99235916137695,5.9210896492004395,-51.22660446166992,-5.648370742797852,5.484846591949463,52.6425666809082,16.224899291992188,7.084996223449707,8.303678512573242,-38.608665466308594,91.51653289794922,-0.40808534622192383,0.9609212875366211,48.9308967590332
0.14,trot,bound,0.30799469351768494,0.46558311581611633,0.0003022945602424443,0.0067132134,0.0,0.0,0.0,0.0,225.51275634765625,5.275343894958496,0.10388297587633133,-0.11864267289638519,0.1009683683514595,-0.12724126875400543,1.0059887170791626,0.6513034701347351,0.8548294901847839,1.127590298652649,-1.7922990322113037,-1.8395980596542358,-1.8996520042419434,-1.641079068183899,-0.10834738612174988,0.2136671543121338,-0.012300748378038406,-0.2492111325263977,1.222956895828247,-1.2953605651855469,-1.5450323820114136,1.4313256740570068,-0.648083508014679,-0.25504404306411743,-0.7945141792297363,-0.8668028712272644,1.7401725053787231,3.811183452606201,-5.80046272277832,-0.6358504295349121,1.267552375793457,25.139427185058594,26.654075622558594,-5.802273750305176,0.7477641105651855,4.1772661209106445,26.010894775390625,9.405350685119629,-54.07954025268555,-6.74625301361084,6.803783416748047,56.637794494628906,8.002161026000977,7.1399641036987305,9.224467277526855,-44.04768371582031,98.87261962890625,-0.8564093112945557,0.2329874038696289,49.83649444580078
0.16,trot,bound,0.3261508643627167,0.45995765924453735,0.0002117349358741194,0.0067132143,0.0,0.0,0.0,0.0,198.93724060058594,5.2816314697265625,0.10165243595838547,-0.11467697471380234,0.1006726548075676,-0.1323976367712021,1.0315306186676025,0.6251695156097412,0.822790265083313,1.1532829999923706,-1.8070237636566162,-1.8427200317382812,-1.9140746593475342,-1.6550483703613281,-0.11059662699699402,0.21674500405788422,-0.03102155029773712,-0.2565039098262787,1.1977622509002686,-1.1687301397323608,-1.4586824178695679,1.2482883930206299,-0.5917723178863525,-0.16616271436214447,-0.5976402163505554,-0.6397137641906738,2.011740207672119,2.516326427459717,-2.9514365196228027,-0.6323337554931641,0.05555152893066406,23.812341690063477,28.45149040222168,-17.589235305786133,2.5360465049743652,1.1464565992355347,17.872119903564453,18.984294891357422,-55.88674545288086,-7.546083927154541,7.70701789855957,60.11817169189453,1.5478277206420898,6.608510971069336,9.169289588928223,-45.88431167602539,105.27753448486328,-1.2922289371490479,-0.4461522102355957,50.72584915161133
0.18,trot,bound,0.34448179602622986,0.45484602451324463,0.00015225409879349172,0.0067132153,0.0,0.0,0.0,0.0,175.0377197265625,5.288307189941406,0.09919413924217224,-0.11117612570524216,0.10046465694904327,-0.13748550415039062,1.0563337802886963,0.6013897061347961,0.7929084897041321,1.1768057346343994,-1.820082187652588,-1.8448048830032349,-1.924445629119873,-1.6654648780822754,-0.12214479595422745,0.18499016761779785,-0.013460629619657993,-0.24865871667861938,1.1684932708740234,-1.0667674541473389,-1.3403936624526978,1.099810004234314,-0.5183081030845642,-0.126472607254982,-0.4467598795890808,-0.4108318090438843,1.7322168350219727,1.510491967201233,-0.9419495463371277,2.3103296756744385,-0.9839534759521484,21.394039154052734,28.264118194580078,-13.069462776184082,4.571068286895752,-0.5853921175003052,12.093246459960938,19.310592651367188,-56.46937942504883,-8.029052734375,8.136666297912598,62.46261978149414,-4.015806198120117,5.726319313049316,8.647918701171875,-45.588645935058594,110.0826416015625,-1.6845512390136719,-0.9652128219604492,50.58285140991211
0.2,trot,bound,0.3629207909107208,0.4503929018974304,0.00011015532072633505,0.0067132157,0.0,0.0,0.0,0.0,158.06546020507812,5.2953667640686035,0.0964205265045166,-0.10853176563978195,0.10079409927129745,-0.14229144155979156,1.0801024436950684,0.5792334675788879,0.765541136264801,1.1981772184371948,-1.830924391746521,-1.8462461233139038,-1.9308483600616455,-1.6722588539123535,-0.13102123141288757,0.1424536556005478,0.012393226847052574,-0.23060046136379242,1.15792977809906,-1.000667929649353,-1.209479808807373,0.9794889688491821,-0.4729900658130646,-0.1031942367553711,-0.29786938428878784,-0.21415656805038452,1.9340753555297852,2.1828861236572266,-0.23731905221939087,4.219666004180908,-2.8160572052001953,19.331382751464844,27.613019943237305,-11.198735237121582,8.650702476501465,-1.639021873474121,6.250548362731934,18.937427520751953,-55.899383544921875,-8.147324562072754,8.240233421325684,63.48263168334961,-9.59278678894043,5.016193389892578,8.045417785644531,-45.13871765136719,112.97512817382812,-1.9297237396240234,-1.4275116920471191,50.001583099365234
0.22,trot,bound,0.3817582428455353,0.44668033719062805,8.173075912054628e-05,0.006713216,0.0,0.0,0.0,0.0,130.46432495117188,5.302810192108154,0.09351671487092972,-0.10663001239299774,0.10182635486125946,-0.14651475846767426,1.1023372411727905,0.5580517053604126,0.7409689426422119,1.2172898054122925,-1.8389350175857544,-1.8472142219543457,-1.9331263303756714,-1.6753278970718384,-0.13325631618499756,0.10820417106151581,0.041194163262844086,-0.19572673738002777,1.086028814315796,-0.9639855027198792,-1.0678155422210693,0.8931074142456055,-0.34023812413215637,-0.0894208550453186,-0.14134261012077332,-0.06328654289245605,2.649178981781006,2.3488311767578125,-1.3601869344711304,2.937173843383789,-3.108644485473633,17.152774810791016,25.86379051208496,-16.321731567382812,6.848585605621338,-2.916321277618408,0.5485683679580688,20.09777069091797,-54.49394989013672,-8.119878768920898,8.093986511230469,63.053199768066406,-14.318103790283203,4.47878360748291,7.391061782836914,-44.88109588623047,112.39688110351562,-2.0509753227233887,-1.8381638526916504,49.319034576416016
